"ID","Name","Start Time","End Time","Level ID","Instructor ID","Status","Days"
"15","Swimming","03:00 PM","04:00 PM","18","24","Active","[""tuesday""]"
"16","سِبَاحة","06:00 PM","07:00 PM","14","25","Active","[""wednesday""]"
"17","Swimming Course Offerings","04:00 PM","05:00 PM","15","29","Active","[""friday""]"
"18","عروض دورات السباحة","07:00 PM","08:00 PM","17","28","Expired","[""thursday""]"
"19","Swim Mastery","02:00 PM","03:00 PM","14","25","Expired","[""saturday""]"
"20","إتقان السباحة","05:00 PM","06:00 PM","18","24","Expired","[""wednesday""]"
"21","Swimming","03:00 PM","04:00 PM","18","24","Active","[""tuesday""]"
"87","Swimming","03:00 PM","04:00 PM","18","24","Active","[""[\""tuesday\""]""]"
"88","سِبَاحة","06:00 PM","07:00 PM","14","25","Active","[""[\""wednesday\""]""]"
"89","Swimming Course Offerings","04:00 PM","05:00 PM","15","29","Active","[""[\""friday\""]""]"
"90","عروض دورات السباحة","07:00 PM","08:00 PM","17","28","Expired","[""[\""thursday\""]""]"
"91","Swim Mastery","02:00 PM","03:00 PM","14","25","Expired","[""[\""saturday\""]""]"
"92","إتقان السباحة","05:00 PM","06:00 PM","18","24","Expired","[""[\""wednesday\""]""]"
"93","Swimming","03:00 PM","04:00 PM","18","24","Active","[""[\""tuesday\""]""]"
